[Header]
Application Name,LabSolutions
Version,5.128 SP1
Data File Name,C:\LabSolutions\Sample\LC\Demo_Data-005.lcd
Output Date,2026/03/04
Output Time,15:46:50

[Configuration]
Instrument Name,ëïíu1
Instrument #,-1
Line #,1
# of Detectors,1
Detector ID,Detector A
Detector Name,åüèoäÌA
# of Channels,1

[Peak Table(Detector A)]
# of Peaks,4
Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc.
1,2.656,2.533,2.825,58928,10414,5.659,0.804,   ,1,Methyl paraben,0.000,4255,35.251,1.195,0.000,0.000,0,0,25.243,25.243
2,3.246,3.108,3.408,64286,12151,5.291,0.776,   ,2,Ethyl paraben,0.222,7117,21.077,1.172,3.724,0.000,0,0,24.357,24.357
3,3.959,3.833,4.100,42947,9138,4.700,0.804,   ,3,Propyl paraben,0.491,13059,11.486,1.172,4.876,2.209,0,0,25.244,25.244
4,4.654,4.533,4.792,45852,10652,4.304,0.801,   ,4,Butyl paraben,0.752,21408,7.007,1.184,5.228,1.533,0,0,25.156,25.156

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,1201
Start Time(min),0.000
End Time(min),10.000
Intensity Units,mV
Intensity Multiplier,0.001
Wavelength(nm),254
R.Time (min),Intensity
0.00000,-16
0.00833,-16
0.01667,0
0.02500,1
0.03333,1
0.04167,2
0.05000,3
0.05833,4
0.06667,6
0.07500,7
0.08333,9
0.09167,10
0.10000,12
0.10833,13
0.11667,15
0.12500,16
0.13333,16
0.14167,17
0.15000,18
0.15833,18
0.16667,18
0.17500,20
0.18333,20
0.19167,20
0.20000,20
0.20833,20
0.21667,19
0.22500,17
0.23333,17
0.24167,17
0.25000,17
0.25833,17
0.26667,17
0.27500,17
0.28333,17
0.29167,18
0.30000,18
0.30833,18
0.31667,18
0.32500,18
0.33333,20
0.34167,21
0.35000,24
0.35833,26
0.36667,27
0.37500,28
0.38333,28
0.39167,28
0.40000,29
0.40833,29
0.41667,28
0.42500,27
0.43333,27
0.44167,26
0.45000,25
0.45833,24
0.46667,23
0.47500,22
0.48333,22
0.49167,21
0.50000,19
0.50833,18
0.51667,17
0.52500,16
0.53333,14
0.54167,12
0.55000,10
0.55833,8
0.56667,8
0.57500,7
0.58333,7
0.59167,7
0.60000,7
0.60833,6
0.61667,6
0.62500,6
0.63333,6
0.64167,7
0.65000,7
0.65833,8
0.66667,9
0.67500,10
0.68333,10
0.69167,10
0.70000,11
0.70833,11
0.71667,10
0.72500,11
0.73333,11
0.74167,11
0.75000,11
0.75833,9
0.76667,9
0.77500,9
0.78333,9
0.79167,9
0.80000,10
0.80833,10
0.81667,11
0.82500,13
0.83333,14
0.84167,15
0.85000,16
0.85833,18
0.86667,19
0.87500,19
0.88333,21
0.89167,22
0.90000,24
0.90833,25
0.91667,25
0.92500,26
0.93333,26
0.94167,26
0.95000,27
0.95833,26
0.96667,25
0.97500,23
0.98333,23
0.99167,21
1.00000,22
1.00833,22
1.01667,20
1.02500,19
1.03333,18
1.04167,18
1.05000,19
1.05833,19
1.06667,18
1.07500,17
1.08333,16
1.09167,15
1.10000,14
1.10833,14
1.11667,14
1.12500,15
1.13333,15
1.14167,15
1.15000,15
1.15833,15
1.16667,14
1.17500,13
1.18333,12
1.19167,13
1.20000,13
1.20833,15
1.21667,15
1.22500,14
1.23333,14
1.24167,14
1.25000,15
1.25833,16
1.26667,16
1.27500,17
1.28333,17
1.29167,18
1.30000,18
1.30833,19
1.31667,21
1.32500,22
1.33333,22
1.34167,23
1.35000,24
1.35833,25
1.36667,24
1.37500,23
1.38333,22
1.39167,22
1.40000,21
1.40833,21
1.41667,21
1.42500,20
1.43333,21
1.44167,23
1.45000,25
1.45833,29
1.46667,32
1.47500,36
1.48333,39
1.49167,42
1.50000,45
1.50833,48
1.51667,49
1.52500,47
1.53333,45
1.54167,45
1.55000,70
1.55833,173
1.56667,362
1.57500,591
1.58333,811
1.59167,982
1.60000,1071
1.60833,1120
1.61667,1198
1.62500,1287
1.63333,1311
1.64167,1240
1.65000,1103
1.65833,955
1.66667,828
1.67500,718
1.68333,568
1.69167,327
1.70000,9
1.70833,-311
1.71667,-557
1.72500,-688
1.73333,-708
1.74167,-642
1.75000,-530
1.75833,-403
1.76667,-285
1.77500,-188
1.78333,-114
1.79167,-60
1.80000,-22
1.80833,3
1.81667,21
1.82500,32
1.83333,40
1.84167,45
1.85000,48
1.85833,51
1.86667,54
1.87500,55
1.88333,54
1.89167,53
1.90000,50
1.90833,49
1.91667,46
1.92500,44
1.93333,42
1.94167,41
1.95000,41
1.95833,42
1.96667,42
1.97500,43
1.98333,45
1.99167,45
2.00000,46
2.00833,46
2.01667,45
2.02500,45
2.03333,44
2.04167,43
2.05000,43
2.05833,44
2.06667,44
2.07500,43
2.08333,41
2.09167,38
2.10000,37
2.10833,36
2.11667,35
2.12500,34
2.13333,33
2.14167,33
2.15000,33
2.15833,33
2.16667,33
2.17500,32
2.18333,32
2.19167,33
2.20000,34
2.20833,35
2.21667,36
2.22500,37
2.23333,38
2.24167,39
2.25000,39
2.25833,38
2.26667,37
2.27500,36
2.28333,34
2.29167,34
2.30000,34
2.30833,33
2.31667,32
2.32500,31
2.33333,29
2.34167,28
2.35000,28
2.35833,28
2.36667,29
2.37500,29
2.38333,28
2.39167,27
2.40000,27
2.40833,29
2.41667,31
2.42500,33
2.43333,36
2.44167,39
2.45000,43
2.45833,46
2.46667,49
2.47500,52
2.48333,56
2.49167,60
2.50000,64
2.50833,68
2.51667,71
2.52500,75
2.53333,82
2.54167,95
2.55000,121
2.55833,174
2.56667,282
2.57500,488
2.58333,855
2.59167,1454
2.60000,2342
2.60833,3535
2.61667,4980
2.62500,6552
2.63333,8072
2.64167,9353
2.65000,10235
2.65833,10622
2.66667,10495
2.67500,9906
2.68333,8960
2.69167,7789
2.70000,6527
2.70833,5291
2.71667,4165
2.72500,3198
2.73333,2410
2.74167,1795
2.75000,1335
2.75833,1003
2.76667,771
2.77500,616
2.78333,515
2.79167,452
2.80000,414
2.80833,393
2.81667,383
2.82500,381
2.83333,384
2.84167,388
2.85000,395
2.85833,402
2.86667,409
2.87500,418
2.88333,426
2.89167,435
2.90000,444
2.90833,454
2.91667,464
2.92500,474
2.93333,484
2.94167,493
2.95000,504
2.95833,513
2.96667,524
2.97500,536
2.98333,547
