[Header]
Application Name,LabSolutions
Version,5.128 SP1
Data File Name,C:\LabSolutions\Sample\LC\Demo_Data-001.lcd
Output Date,2026/03/04
Output Time,15:43:16

[File Information]
Type,Data File
Generated,2010/04/19 13:58:43
Generated by,System Administrator
Modified,2017/02/21 20:27:06
Modified by,System Administrator

[Sample Information]
Operator Name,shimadzu
Acquired,2003/01/16 16:42:31
Sample Type,1:Standard
Level,1
Sample Name,STD
Sample ID,1
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,1
Injection Volume,10
Injection Count,1
Bar Code,

[Original Files]
Data File,C:\LabSolutions\Data\Project1\Demo_Data-001.lcd
Method File,C:\LabSolutions\Data\Project1\Demo_Method.lcm
Batch File,C:\LabSolutions\Data\Project1\Demo_Batch.lcb
Report Format File,C:\LabSolutions\Sample\LC\検量線レポート_1.lsr

[File Description]


[Configuration]
Instrument Name,装置1
Instrument #,-1
Line #,1
# of Detectors,1
Detector ID,Detector A
Detector Name,検出器A
# of Channels,1

[Peak Table(Detector A)]
# of Peaks,4
Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc.
1,2.655,2.525,2.825,73510,13040,5.637,1.000,   ,1,Methyl paraben,0.000,4246,35.327,1.194,0.000,0.000,0,0,25.000,25.000
2,3.241,3.008,3.400,83364,15251,5.466,1.000,   ,2,Ethyl paraben,0.221,6959,21.555,1.140,3.684,0.000,0,0,25.000,25.000
3,3.954,3.825,4.100,53565,11457,4.675,1.000,   ,3,Propyl paraben,0.490,12829,11.693,1.168,4.836,2.217,0,0,25.000,25.000
4,4.648,4.525,4.792,57336,13248,4.328,1.000,   ,4,Butyl paraben,0.751,20711,7.243,1.166,5.163,1.534,0,0,25.000,25.000

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,1201
Start Time(min),0.000
End Time(min),10.000
Intensity Units,mV
Intensity Multiplier,0.001
