[Header]
Application Name,LabSolutions
Version,5.128 SP1
Data File Name,C:\LabSolutions\Sample\LC\Demo_Data-003.lcd
Output Date,2026/03/04
Output Time,15:45:34

[Configuration]
Instrument Name,ëïíu1
Instrument #,-1
Line #,1
# of Detectors,1
Detector ID,Detector A
Detector Name,åüèoäÌA
# of Channels,1

[Peak Table(Detector A)]
# of Peaks,4
Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc.
1,2.649,2.508,2.850,292783,51586,5.676,4.002,   ,1,Methyl paraben,0.000,4243,35.350,1.198,0.000,0.000,0,0,24.992,24.992
2,3.237,3.083,3.425,322020,60349,5.336,4.007,   ,2,Ethyl paraben,0.222,6996,21.441,1.171,3.704,0.000,0,0,25.026,25.026
3,3.950,3.817,4.125,213341,45215,4.718,4.002,   ,3,Propyl paraben,0.491,12984,11.552,1.182,4.858,2.212,0,0,24.991,24.991
4,4.645,4.517,4.808,227691,52643,4.325,4.002,   ,4,Butyl paraben,0.753,21288,7.046,1.190,5.225,1.534,0,0,24.992,24.992

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,1201
Start Time(min),0.000
End Time(min),10.000
Intensity Units,mV
Intensity Multiplier,0.001
Wavelength(nm),254
R.Time (min),Intensity
0.00000,10
0.00833,10
0.01667,0
0.02500,1
0.03333,0
0.04167,0
0.05000,-0
0.05833,1
0.06667,2
0.07500,3
0.08333,3
0.09167,2
0.10000,0
0.10833,-0
0.11667,-0
0.12500,-0
0.13333,-1
0.14167,-1
0.15000,-0
0.15833,0
0.16667,0
0.17500,-1
0.18333,-1
0.19167,-1
0.20000,-1
0.20833,-1
0.21667,0
0.22500,1
0.23333,1
0.24167,1
0.25000,0
0.25833,-1
0.26667,-1
0.27500,-1
0.28333,-1
0.29167,-1
0.30000,-2
0.30833,-2
0.31667,-1
0.32500,-1
0.33333,-0
0.34167,-0
0.35000,-0
0.35833,-0
0.36667,1
0.37500,1
0.38333,2
0.39167,2
0.40000,3
0.40833,4
0.41667,5
0.42500,7
0.43333,7
0.44167,8
0.45000,8
0.45833,7
0.46667,8
0.47500,8
0.48333,10
0.49167,10
0.50000,11
0.50833,11
0.51667,10
0.52500,11
0.53333,12
0.54167,13
0.55000,14
0.55833,15
0.56667,16
0.57500,17
0.58333,19
0.59167,20
0.60000,20
0.60833,19
0.61667,19
0.62500,19
0.63333,20
0.64167,22
0.65000,22
0.65833,22
0.66667,21
0.67500,19
0.68333,18
0.69167,18
0.70000,17
0.70833,16
0.71667,15
0.72500,13
0.73333,12
0.74167,12
0.75000,11
0.75833,11
0.76667,10
0.77500,9
0.78333,9
0.79167,9
0.80000,9
0.80833,9
0.81667,10
0.82500,10
0.83333,10
0.84167,9
0.85000,8
0.85833,8
0.86667,8
0.87500,9
0.88333,9
0.89167,9
0.90000,9
0.90833,8
0.91667,7
0.92500,6
0.93333,7
0.94167,7
0.95000,8
0.95833,8
0.96667,8
0.97500,9
0.98333,9
0.99167,9
1.00000,8
1.00833,7
1.01667,7
1.02500,7
1.03333,8
1.04167,9
1.05000,11
1.05833,12
1.06667,13
1.07500,14
1.08333,16
1.09167,18
1.10000,18
1.10833,18
1.11667,19
1.12500,19
1.13333,20
1.14167,21
1.15000,22
1.15833,24
1.16667,25
1.17500,25
1.18333,24
1.19167,22
1.20000,20
1.20833,19
1.21667,18
1.22500,17
1.23333,16
1.24167,15
1.25000,14
1.25833,14
1.26667,15
1.27500,15
1.28333,15
1.29167,16
1.30000,17
1.30833,16
1.31667,15
1.32500,15
1.33333,15
1.34167,16
1.35000,17
1.35833,17
1.36667,16
1.37500,17
1.38333,16
1.39167,15
1.40000,14
1.40833,14
1.41667,14
1.42500,15
1.43333,16
1.44167,17
1.45000,20
1.45833,23
1.46667,25
1.47500,28
1.48333,31
1.49167,35
1.50000,38
1.50833,41
1.51667,43
1.52500,44
1.53333,43
1.54167,43
1.55000,67
1.55833,164
1.56667,348
1.57500,573
1.58333,791
1.59167,965
1.60000,1058
1.60833,1106
1.61667,1181
1.62500,1267
1.63333,1291
1.64167,1219
1.65000,1081
1.65833,929
1.66667,801
1.67500,691
1.68333,545
1.69167,309
1.70000,-5
1.70833,-323
1.71667,-567
1.72500,-696
1.73333,-712
1.74167,-646
1.75000,-532
1.75833,-403
1.76667,-284
1.77500,-185
1.78333,-110
1.79167,-55
1.80000,-18
1.80833,6
1.81667,20
1.82500,28
1.83333,33
1.84167,36
1.85000,37
1.85833,39
1.86667,41
1.87500,42
1.88333,42
1.89167,43
1.90000,43
1.90833,43
1.91667,42
1.92500,43
1.93333,42
1.94167,42
1.95000,42
1.95833,41
1.96667,40
1.97500,39
1.98333,38
1.99167,38
2.00000,38
2.00833,38
2.01667,37
2.02500,37
2.03333,37
2.04167,39
2.05000,40
2.05833,41
2.06667,41
2.07500,40
2.08333,38
2.09167,35
2.10000,31
2.10833,28
2.11667,26
2.12500,26
2.13333,27
2.14167,30
2.15000,36
2.15833,43
2.16667,49
2.17500,54
2.18333,58
2.19167,59
2.20000,56
2.20833,53
2.21667,51
2.22500,48
2.23333,44
2.24167,42
2.25000,40
2.25833,38
2.26667,38
2.27500,37
2.28333,35
2.29167,35
2.30000,35
2.30833,35
2.31667,36
2.32500,35
2.33333,35
2.34167,35
2.35000,33
2.35833,32
2.36667,30
2.37500,30
2.38333,29
2.39167,29
2.40000,28
2.40833,28
2.41667,29
2.42500,29
2.43333,29
2.44167,30
2.45000,32
2.45833,34
2.46667,37
2.47500,39
2.48333,43
2.49167,47
2.50000,52
