[Header]
Application Name,LabSolutions
Version,5.128 SP1
Data File Name,C:\LabSolutions\Sample\LC\Demo_Data-006.lcd
Output Date,2026/03/04
Output Time,15:47:10

[Configuration]
Instrument Name,ëïíu1
Instrument #,-1
Line #,1
# of Detectors,1
Detector ID,Detector A
Detector Name,åüèoäÌA
# of Channels,1

[Peak Table(Detector A)]
# of Peaks,4
Peak#,R.Time,I.Time,F.Time,Area,Height,A/H,Conc.,Mark,ID#,Name,k',Plate #,Plate Ht.,Tailing,Resolution,Sep.Factor,Area Ratio,Height Ratio,Conc. %,Norm Conc.
1,2.660,2.525,2.858,175519,30759,5.706,2.398,   ,1,Methyl paraben,0.000,4228,35.478,1.202,0.000,0.000,0,0,25.063,25.063
2,3.253,3.108,3.425,192088,36032,5.331,2.378,   ,2,Ethyl paraben,0.223,7060,21.246,1.171,3.723,0.000,0,0,24.852,24.852
3,3.968,3.833,4.133,127901,27158,4.709,2.398,   ,3,Propyl paraben,0.492,13063,11.483,1.176,4.869,2.206,0,0,25.063,25.063
4,4.664,4.533,4.817,136373,31665,4.307,2.395,   ,4,Butyl paraben,0.753,20407,7.350,1.187,5.164,1.532,0,0,25.023,25.023

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),500
# of Points,1201
Start Time(min),0.000
End Time(min),10.000
Intensity Units,mV
Intensity Multiplier,0.001
Wavelength(nm),254
R.Time (min),Intensity
0.00000,23
0.00833,23
0.01667,3
0.02500,2
0.03333,3
0.04167,4
0.05000,5
0.05833,6
0.06667,6
0.07500,7
0.08333,8
0.09167,9
0.10000,10
0.10833,9
0.11667,9
0.12500,9
0.13333,8
0.14167,8
0.15000,6
0.15833,5
0.16667,4
0.17500,3
0.18333,3
0.19167,3
0.20000,3
0.20833,3
0.21667,3
0.22500,4
0.23333,5
0.24167,5
0.25000,6
0.25833,6
0.26667,7
0.27500,6
0.28333,5
0.29167,3
0.30000,1
0.30833,-1
0.31667,-2
0.32500,-2
0.33333,-3
0.34167,-3
0.35000,-2
0.35833,-2
0.36667,-1
0.37500,0
0.38333,1
0.39167,3
0.40000,4
0.40833,6
0.41667,7
0.42500,7
0.43333,8
0.44167,9
0.45000,9
0.45833,9
0.46667,10
0.47500,12
0.48333,13
0.49167,15
0.50000,16
0.50833,17
0.51667,17
0.52500,17
